bearish_threshold,bullish_threshold,platforms,annual_return,max_drawdown,sharpe,final_equity
-0.4,0.7,guba+sina_finance+weibo,0.406546,0.063947,1.497927,163681.7728
-0.5,0.7,guba+sina_finance+weibo,0.356922,0.059448,1.477499,155406.1058
-0.6,0.7,guba+sina_finance+weibo,0.306156,0.057802,1.466068,147078.2607
-0.7,0.7,guba+sina_finance+weibo,0.232806,0.052529,1.339744,135298.37
-0.8,0.7,guba+sina_finance+weibo,0.106479,0.028529,1.092922,115737.4
-0.4,0.7,sina_finance+weibo,0.22205,0.064872,0.910271,133596.5247
-0.5,0.7,sina_finance+weibo,0.173532,0.064531,0.767722,126003.16
-0.4,0.7,guba+sina_finance,0.164152,0.064251,0.735906,124551.0578
-0.6,0.7,sina_finance+weibo,0.134038,0.059469,0.726767,119924.0496
-0.5,0.7,guba+sina_finance,0.15062,0.068256,0.710192,122465.1891
-0.7,0.7,sina_finance+weibo,0.118554,0.0535,0.694701,117566.0992
-0.4,0.7,guba+weibo,0.154626,0.073184,0.640706,123081.5156
-0.6,0.7,guba+sina_finance,0.118085,0.067628,0.622806,117494.9603
-0.5,0.7,guba+weibo,0.127595,0.061764,0.604365,118941.2426
-0.6,0.7,guba+weibo,0.093517,0.044628,0.564473,113784.0952
-0.7,0.7,guba+weibo,0.080321,0.042167,0.543421,111805.9525
-0.8,0.7,sina_finance+weibo,0.058422,0.042341,0.517831,108547.06
-0.8,0.7,guba+sina_finance,0.043895,0.030339,0.450699,106401.69
-0.7,0.7,guba+sina_finance,0.059145,0.049141,0.441608,108654.1848
-0.8,0.7,guba+weibo,0.031001,0.03441,0.373523,104508.66
